price,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,neworold,Furnished_status,Lift,type_of_building,Price_sqft,Address_Encoded
8800000.0,1490.0,28.37423557,76.95241631,3.0,3.0,2.0,New Property,Semi-Furnished,1.0,Flat,5906.040268456376,9231643.056863004
3810000.0,1050.0,28.566914,77.436434,2.0,2.0,3.0,New Property,Unfurnished,1.0,Flat,3628.571428571429,8288299.143918592
6200000.0,1350.0,28.520732,77.356491,2.0,2.0,3.0,Resale,no data,1.0,Flat,4592.592592592592,8288299.143918592
3700000.0,1150.0,28.62804,77.437809,2.0,2.0,3.0,New Property,no data,1.0,Flat,3217.391304347826,8288299.143918592
3270000.0000000005,890.0,28.610645,77.455837,2.0,2.0,3.0,Resale,no data,1.0,Flat,3674.157303370787,8313562.197092084
3990000.0,850.0,28.471233,76.969597,2.0,2.0,1.0,Resale,no data,1.0,Flat,4694.117647058823,8313562.197092084
3500000.0,960.0,28.5814311,77.4528192,2.0,2.0,2.0,Resale,no data,1.0,Flat,3645.8333333333335,8330828.756058158
5500000.0,1400.0,28.614181,77.427713,3.0,3.0,4.0,Resale,no data,1.0,Flat,3928.571428571429,7654466.152059801
7300000.0,850.0,28.72407531738281,77.0955810546875,3.0,2.0,1.0,New Property,Semi-Furnished,1.0,Flat,8588.235294117647,9045106.913567275
7700000.0,1250.0,28.436305,77.13605,2.0,2.0,2.0,Resale,no data,1.0,Flat,6160.0,8323733.151770806
10500000.0,1615.0,28.513139724731445,77.02595520019531,3.0,3.0,3.0,Resale,Unfurnished,1.0,Flat,6501.547987616099,9309088.99475951
7200000.0,1200.0,28.5074613813646,77.4078166697626,2.0,2.0,3.0,Resale,no data,1.0,Flat,6000.0,8393002.745921498
7000000.0,1690.0,28.679009,77.3492951427093,3.0,3.0,2.0,Resale,no data,1.0,Flat,4142.011834319526,7920372.283017296
5100000.0,1087.0,28.6443099975586,77.331787109375,2.0,2.0,2.0,Resale,Semi-Furnished,1.0,Flat,4691.8123275069,8313562.197092084
14000000.0,1845.0,28.5469297107013,77.3543872945106,3.0,3.0,3.0,Resale,Semi-Furnished,1.0,Flat,7588.075880758807,8226695.021230518
6250000.0,1400.0,28.449384,76.98441,2.0,2.0,2.0,New Property,no data,1.0,Flat,4464.285714285715,7861780.674389362
8700000.0,1600.0,28.423049,77.08741,3.0,2.0,1.0,Resale,Unfurnished,1.0,Flat,5437.5,9107855.447667884
13000000.0,1950.0,28.5697371550333,77.3324116681809,3.0,3.0,2.0,Resale,no data,1.0,Individual House,6666.666666666667,8393002.745921498
15000000.0,1800.0,28.529146,77.355843,2.0,3.0,1.0,New Property,no data,1.0,Flat,8333.333333333334,8330828.756058158
4200000.0,1040.0,28.616204,77.422256,2.0,2.0,3.0,Resale,no data,1.0,Flat,4038.4615384615386,6901519.768737188
3900000.0,1025.0,28.57223,77.474898,2.0,2.0,3.0,Resale,no data,1.0,Flat,3804.878048780488,8330828.756058158
10000000.0,1836.0,28.6571606,77.355748,3.0,2.0,2.0,Resale,Semi-Furnished,1.0,Individual House,5446.623093681917,8315848.063356583
7600000.0,1350.0,28.645769,77.38511,3.0,2.0,4.0,Resale,no data,1.0,Flat,5629.62962962963,8296331.792202134
3900000.0,800.0,28.387731,76.96791987,2.0,2.0,1.0,Resale,no data,1.0,Flat,4875.0,8277473.344103392
9000000.0,1481.0,28.49744987487793,77.02709197998047,2.0,2.0,2.0,Resale,Unfurnished,1.0,Flat,6076.975016880486,8277473.344103392
8350000.0,1398.0,28.5434121846104,77.367853,2.0,2.0,2.0,Resale,no data,1.0,Flat,5972.818311874106,8330828.756058158
13500000.0,2150.0,28.435208771263,77.0902252334016,3.0,3.0,4.0,Resale,no data,1.0,Individual House,6279.069767441861,8313562.197092084
5310000.0,1100.0,28.6467392,77.3709475,3.0,2.0,2.0,Resale,Furnished,1.0,Flat,4827.272727272727,7507645.119833724
15000000.0,1960.0,28.3907304,77.05782257,3.0,3.0,2.0,Resale,Semi-Furnished,1.0,Flat,7653.061224489796,8610857.629856315
5000000.0,1000.0,28.5604873040921,77.384084,2.0,2.0,3.0,Resale,no data,1.0,Flat,5000.0,8393002.745921498
3500000.0,850.0,28.559850692749023,77.24765014648438,2.0,2.0,1.0,Resale,Furnished,1.0,Flat,4117.64705882353,8330828.756058158
4550000.0,950.0,28.50809,77.2314673,3.0,2.0,1.0,New Property,Semi-Furnished,1.0,Flat,4789.473684210527,8393002.745921498
4000000.0,700.0,28.558586,77.2511855,2.0,2.0,2.0,Resale,Unfurnished,1.0,Flat,5714.285714285715,8313562.197092084
3500000.0,750.0,28.6895694732666,77.33861541748047,2.0,2.0,2.0,Resale,Semi-Furnished,0.0,Flat,4666.666666666667,8393002.745921498
3500000.0,950.0,28.5905383,77.35981,2.0,2.0,1.0,Resale,no data,1.0,Individual House,3684.2105263157896,8330828.756058158
2400000.0,540.0,28.59227180480957,77.08367919921875,2.0,2.0,1.0,New Property,Semi-Furnished,0.0,Flat,4444.444444444444,8393002.745921498
9500000.0,1200.0,28.652429,77.1643181,2.0,2.0,2.0,Resale,Semi-Furnished,1.0,Flat,7916.666666666667,8944784.786859434
7500000.0,1505.0,28.512136,76.986899,2.0,2.0,2.0,Resale,no data,1.0,Flat,4983.388704318937,8393002.745921498
5600000.0,929.0,28.436305,77.13605,2.0,2.0,1.0,Resale,no data,1.0,Flat,6027.987082884823,8419176.189881796
8500000.0,1350.0,28.647938,77.340697,3.0,3.0,2.0,Resale,no data,1.0,Flat,6296.2962962962965,8731358.47213365
4700000.0,1085.0,28.646509,77.3814882767311,2.0,2.0,2.0,Resale,no data,1.0,Flat,4331.797235023041,8722527.631129177
8500000.0,1790.0,28.512136,76.986899,3.0,3.0,2.0,Resale,no data,1.0,Flat,4748.603351955308,8615627.670992233
12400000.0,1650.0,28.6016822982437,77.0319327881991,3.0,2.0,2.0,Resale,no data,0.0,Flat,7515.151515151515,8288299.143918592
7700000.0,1685.0,28.5092080113141,77.4066255380327,3.0,4.0,4.0,Resale,Unfurnished,1.0,Flat,4569.73293768546,7052149.571959296
6000000.0,1050.0,28.648794,77.3425322478785,2.0,2.0,2.0,Resale,no data,1.0,Flat,5714.285714285715,8211164.378029079
6380000.0,1170.0,28.495893478393555,77.18599700927734,3.0,2.0,1.0,New Property,Semi-Furnished,1.0,Flat,5452.991452991453,8330828.756058158
7400000.0,1275.0,28.28709602355957,77.06906127929688,2.0,2.0,2.0,New Property,Semi-Furnished,1.0,Flat,5803.921568627451,8277473.344103392
8400000.0,1890.0,28.410466,76.962531,3.0,3.0,4.0,Resale,no data,1.0,Flat,4444.444444444444,8393002.745921498
